key,en,ko,ja,zh-cn,zh-tw,fr,de,es,es-419,pt-br,ru
"story.p3","He is Brandon, the son of the fallen resistance leader. Having endured two decades of hell to forge himself into a lethal wolf tracker, he returns to unleash a blood-soaked retribution upon the realm of beasts.","그는 브랜든, 쓰러진 저항군 지도자의 아들이다. 치명적인 늑대 추적자로 스스로를 벼려내기 위해 지옥 같은 20년을 견뎌낸 그는, 짐승들의 영역에 피로 물든 응징을 퍼붓기 위해 돌아왔다.","彼の名はブランドン、倒れたレジスタンスの指導者の息子。致命的な狼の追跡者へと自らを鍛え上げるため、地獄のような20年間に耐え抜いた彼は、獣どもの領域に血塗られた報復をもたらすために帰ってきた。","他是布兰登，倒下的抵抗军领袖之子。为了将自己锻造成致命的猎狼者，他忍受了二十年如地狱般的煎熬，如今归来，要向野兽的领地降下血腥的复仇。","他是布蘭登，倒下的抵抗軍領袖之子。為了將自己鍛造成致命的獵狼者，他忍受了二十年如地獄般的煎熬，如今歸來，要向野獸的領地降下血腥的復仇。","Il s'appelle Brandon, le fils du chef de la résistance tombé au combat. Après avoir enduré deux décennies d'enfer pour se forger en traqueur de loups impitoyable, il revient déchaîner une vengeance sanglante sur le royaume des bêtes.","Er ist Brandon, der Sohn des gefallenen Widerstandsführers. Nachdem er zwei Jahrzehnte der Hölle ertragen hat, um sich zu einem tödlichen Wolfsjäger zu formen, kehrt er zurück, um blutige Vergeltung über das Reich der Bestien zu bringen.","Es Brandon, el hijo del caído líder de la resistencia. Tras soportar dos décadas de infierno para forjarse como un letal rastreador de lobos, regresa para desatar una venganza ensangrentada sobre el reino de las bestias.","Es Brandon, el hijo del caído líder de la resistencia. Tras soportar dos décadas de infierno para forjarse como un letal rastreador de lobos, regresa a desatar una venganza ensangrentada sobre el reino de las bestias.","Ele é Brandon, filho do líder caído da resistência. Após suportar duas décadas de inferno para se forjar em um letal rastreador de lobos, ele retorna para desencadear uma retribuição sangrenta sobre o reino das bestas.","Его зовут Брэндон, сын погибшего лидера сопротивления. Вытерпев два десятилетия ада, чтобы превратить себя в смертоносного охотника на волков, он возвращается, чтобы обрушить кровавое возмездие на царство зверей."
"story.p4","The night the roles of predator and prey are reversed—who will survive?!","포식자와 사냥감의 역할이 뒤바뀌는 밤 — 과연 살아남는 자는 누구인가?!","捕食者と獲物の立場が逆転する夜——生き残るのは果たして誰か？！","猎食者与猎物角色互换的夜晚——谁能存活下来？！","獵食者與獵物角色互換的夜晚——誰能存活下來？！","La nuit où les rôles du prédateur et de la proie s'inversent — qui survivra ?!","Die Nacht, in der sich die Rollen von Jäger und Beute umkehren — wer wird überleben?!","La noche en que los papeles del depredador y la presa se invierten. ¿Quién sobrevivirá?!","La noche en que los papeles del depredador y la presa se invierten. ¿Quién sobrevivirá?!","A noite em que os papéis de predador e presa se invertem — quem vai sobreviver?!","Ночь, когда хищник и жертва меняются местами — кто выживет?!"
"feature1.heading","Brutal beat-'em-up combat meets Metroidvania exploration","잔혹한 벨트스크롤 액션과 메트로배니아 탐험의 만남","過酷なベルトスクロールアクションとメトロヴァニア探索の融合","残酷清版动作战斗与银河恶魔城式探索的碰撞","殘酷清版動作戰鬥與銀河惡魔城式探索的碰撞","Un beat-'em-up brutal rencontre l'exploration façon Metroidvania","Brutale Beat-'em-up-Kämpfe treffen auf Metroidvania-Erkundung","Combate brutal beat-'em-up se une a la exploración estilo Metroidvania","Combate brutal estilo beat-'em-up se une a la exploración tipo Metroidvania","Combate brutal estilo beat-'em-up encontra a exploração Metroidvania","Жестокий beat-'em-up боевик встречается с исследованием в духе метроидвании"
"feature1.body","Chain together fluid combos, cancels, and perfectly-timed parries to cut down enemies heavily armed with an arsenal of weapons and modern firearms — swordsmanship sharp enough to turn a firefight into a duel.","유려한 콤보와 캔슬, 완벽한 타이밍의 패링을 연계해 각종 무기와 현대식 화기로 중무장한 적들을 베어 넘겨라 — 총격전을 결투로 바꿔놓을 만큼 날카로운 검술.","流麗なコンボとキャンセル、完璧なタイミングのパリィを連携させ、各種武器と近代火器で重武装した敵を斬り伏せろ——銃撃戦を決闘に変えるほど鋭い剣技。","将流畅的连招、取消技与精准格挡串联起来，斩杀装备各式武器与现代火器的重装敌人——锋利的剑术足以将枪战化为一场决斗。","將流暢的連招、取消技與精準格擋串聯起來，斬殺裝備各式武器與現代火器的重裝敵人——鋒利的劍術足以將槍戰化為一場決鬥。","Enchaînez combos fluides, annulations et parades parfaitement chronométrées pour abattre des ennemis lourdement armés d'un arsenal d'armes et d'armes à feu modernes — un art de l'épée assez tranchant pour transformer une fusillade en duel.","Verkette fließende Kombos, Cancels und perfekt getimte Paraden, um schwer bewaffnete Gegner mit einem Arsenal an Waffen und modernen Feuerwaffen niederzustrecken — Schwertkunst scharf genug, um aus einer Schießerei ein Duell zu machen.","Encadena combos fluidos, cancelaciones y paradas perfectamente cronometradas para derribar a enemigos fuertemente armados con un arsenal de armas y armas de fuego modernas: una esgrima lo bastante afilada como para convertir un tiroteo en un duelo.","Encadena combos fluidos, cancelaciones y paradas perfectamente cronometradas para derribar a enemigos fuertemente armados con un arsenal de armas y armas de fuego modernas: una esgrima lo bastante afilada como para convertir un tiroteo en un duelo.","Encadeie combos fluidos, cancelamentos e aparadas perfeitamente cronometradas para abater inimigos fortemente armados com um arsenal de armas e armas de fogo modernas — uma esgrima afiada o bastante para transformar um tiroteio em um duelo.","Соединяй плавные комбо, отмены и точно рассчитанные парирования, чтобы рубить противников, вооружённых до зубов разнообразным оружием и современным огнестрельным оружием — фехтование, острое настолько, что превращает перестрелку в дуэль."
"feature1.aria","Beat 'em up combat blending with Metroidvania exploration","벨트스크롤 액션 전투와 메트로배니아 탐험이 어우러지는 모습","ベルトスクロールアクション戦闘とメトロヴァニア探索が融合する様子","清版动作战斗与银河恶魔城式探索融合的画面","清版動作戰鬥與銀河惡魔城式探索融合的畫面","Combats beat-'em-up mêlés à l'exploration Metroidvania","Beat-'em-up-Kämpfe verschmelzen mit Metroidvania-Erkundung","Combate beat-'em-up combinado con exploración estilo Metroidvania","Combate beat-'em-up combinado con exploración estilo Metroidvania","Combate beat-'em-up combinado com exploração Metroidvania","Боевая система beat-'em-up в сочетании с исследованием в стиле метроидвании"
"feature2.heading","Grow stronger, gear up, hunt harder","더 강해지고, 장비를 갖추고, 더 치열하게 사냥하라","より強く、より整えて、より激しく狩る","变得更强，武装自己，猎杀得更狠","變得更強，武裝自己，獵殺得更狠","Deviens plus fort, équipe-toi, chasse plus durement","Werde stärker, rüste dich aus, jage härter","Hazte más fuerte, equípate y caza con más fuerza","Hazte más fuerte, equípate y caza con más fuerza","Fique mais forte, equipe-se e caça com mais intensidade","Становись сильнее, вооружайся, охоться яростнее"
"feature2.body","Level up your abilities, hunt down gear with effects all your own, and turn even the deadliest territory into your hunting ground.","능력치를 성장시키고, 자신만의 효과를 지닌 장비를 사냥해 모으며, 가장 위험한 영역조차 나만의 사냥터로 만들어라.","能力を成長させ、自分だけの効果を持つ装備を狩り集め、最も危険な領域さえも自分の狩場に変えろ。","提升你的能力，猎取拥有专属效果的装备，将最凶险的领域也变成属于你的猎场。","提升你的能力，獵取擁有專屬效果的裝備，將最凶險的領域也變成屬於你的獵場。","Fais évoluer tes capacités, traque des équipements aux effets qui te sont propres, et transforme même le territoire le plus mortel en ton terrain de chasse.","Steigere deine Fähigkeiten, jage Ausrüstung mit ganz eigenen Effekten und mach selbst das tödlichste Gebiet zu deinem Jagdrevier.","Sube de nivel tus habilidades, caza equipo con efectos únicos y convierte incluso el territorio más letal en tu coto de caza.","Sube de nivel tus habilidades, caza equipo con efectos únicos y convierte incluso el territorio más letal en tu coto de caza.","Evolua suas habilidades, cace equipamentos com efeitos exclusivos e transforme até o território mais mortal em seu terreno de caça.","Прокачивай способности, добывай снаряжение с уникальными эффектами и превращай даже самую смертоносную территорию в свои охотничьи угодья."
"feature2.aria","Character growth and equipment with diverse farmable effects","캐릭터 성장과 다양한 파밍 효과를 지닌 장비 시스템","キャラクター成長と多彩な収集効果を持つ装備システム","角色成长与拥有多样可刷取效果的装备系统","角色成長與擁有多樣可刷取效果的裝備系統","Progression du personnage et équipement aux effets variés à collecter","Charakterentwicklung und Ausrüstung mit vielfältigen farmbaren Effekten","Progresión del personaje y equipo con diversos efectos obtenibles","Progresión del personaje y equipo con diversos efectos obtenibles","Evolução de personagem e equipamentos com diversos efeitos farmáveis","Развитие персонажа и снаряжение с разнообразными фармящимися эффектами"
"feature3.heading","Take on brutal missions in a world ripped from reality","현실에서 뜯어낸 듯한 세계에서 치열한 임무에 맞서라","現実から切り取られたような世界で過酷なミッションに挑め","在如现实般残酷的世界中挑战严峻任务","在如現實般殘酷的世界中挑戰嚴峻任務","Affronte des missions brutales dans un monde arraché à la réalité","Stelle dich brutalen Missionen in einer Welt, die der Realität entrissen ist","Enfréntate a misiones brutales en un mundo arrancado de la realidad","Enfréntate a misiones brutales en un mundo arrancado de la realidad","Encare missões brutais em um mundo arrancado da realidade","Берись за жестокие задания в мире, вырванном из реальности"
"feature3.body","Every mission gives you the choice: strike as a silent assassin or tear through enemies as a loud brawler. However you complete the mission, the city will never forget your choices.","모든 임무는 선택을 요구한다: 소리 없는 암살자로 일격을 가할 것인가, 요란한 싸움꾼으로 적들을 찢어놓을 것인가. 어떤 방식으로 임무를 완수하든, 도시는 결코 당신의 결정을 잊지 않는다.","すべてのミッションが選択を突きつける——静かなる暗殺者として一撃を放つか、荒々しい乱闘者として敵を切り裂くか。どんな方法で任務を完遂しようとも、街はあなたの決断を決して忘れない。","每个任务都赋予你选择：以无声的刺客身份出击，或以喧闹的斗士姿态撕裂敌人。无论你以何种方式完成任务，这座城市都绝不会忘记你的抉择。","每個任務都賦予你選擇：以無聲的刺客身份出擊，或以喧鬧的鬥士姿態撕裂敵人。無論你以何種方式完成任務，這座城市都絕不會忘記你的抉擇。","Chaque mission vous laisse le choix : frapper en assassin silencieux ou déchirer vos ennemis en bagarreur bruyant. Quelle que soit la façon dont vous menez à bien la mission, la ville n'oubliera jamais vos choix.","Jede Mission lässt dir die Wahl: als lautloser Attentäter zuschlagen oder dich als lauter Raufbold durch die Feinde kämpfen. Wie du die Mission auch löst, die Stadt wird deine Entscheidungen niemals vergessen.","Cada misión te da a elegir: golpear como un asesino silencioso o arrasar con los enemigos como un pendenciero ruidoso. Sea cual sea tu forma de completar la misión, la ciudad nunca olvidará tus decisiones.","Cada misión te da a elegir: golpear como un asesino silencioso o arrasar con los enemigos como un pendenciero ruidoso. Sea cual sea tu forma de completar la misión, la ciudad nunca olvidará tus decisiones.","Cada missão te dá a escolha: golpear como um assassino silencioso ou arrasar os inimigos como um brigão barulhento. Não importa como você conclua a missão, a cidade jamais esquecerá suas decisões.","Каждое задание оставляет выбор: разить как безмолвный убийца или крушить врагов как шумный драчун. Как бы ты ни выполнил задание, город никогда не забудет твой выбор."
"feature3.aria","A vivid, realistic combat mission stage","생생하고 사실적인 전투 임무 스테이지","生々しくリアルな戦闘ミッションステージ","生动写实的战斗任务场景","生動寫實的戰鬥任務場景","Une scène de mission de combat vive et réaliste","Eine lebendige, realistische Kampfmissions-Umgebung","Un escenario de misión de combate vívido y realista","Un escenario de misión de combate vívido y realista","Um cenário de missão de combate vívido e realista","Яркая, реалистичная боевая миссия"
"feature4.heading","Brandon, lost inside the Memory Palace — explore his mind and awaken a stronger self.","기억의 궁전 속에서 길을 잃은 브랜든, 머릿속을 탐험해 강력한 자아로 각성하라.","記憶の宮殿で道に迷ったブランドン——彼の心を探索し、強き自我として目覚めよ。","布兰登迷失在记忆宫殿之中——探索他的内心，觉醒为强大的自我。","布蘭登迷失在記憶宮殿之中——探索他的內心，覺醒為強大的自我。","Brandon, perdu dans le Palais des Mémoires — explorez son esprit et éveillez un moi plus puissant.","Brandon, verloren im Gedächtnispalast — erkunde seinen Verstand und erwecke ein mächtigeres Selbst.","Brandon, perdido en el Palacio de la Memoria — explora su mente y despierta un yo más poderoso.","Brandon, perdido en el Palacio de la Memoria — explora su mente y despierta un yo más poderoso.","Brandon, perdido no Palácio da Memória — explore sua mente e desperte um eu mais poderoso.","Брэндон заблудился во Дворце памяти — исследуй его разум и пробуди более могущественное «я»."
"feature4.body","Twenty years of experimentation shattered Brandon's memories and sense of self, scattering them apart... Confront forgotten memories and trauma within his non-linear mind, and unite his fractured selves for the war against his own personalities.","20년 동안의 실험으로 인해 산산이 부서지고 흩어진 브랜든의 기억과 자아들... 비선형적으로 구성된 기억 속에서 잊혀진 기억과 트라우마를 마주하고, 인격들과의 전쟁을 위해 흩어진 자아를 하나로 규합해야 한다.","20年にわたる実験によって粉々に砕け散り、散らばったブランドンの記憶と自我たち……非直線的に構成された記憶の中で、忘れられた記憶とトラウマに向き合い、人格たちとの戦いのために散らばった自我をひとつに統合しなければならない。","二十年的实验将布兰登的记忆与自我碎片化、四散各处……在非线性构成的记忆中，直面被遗忘的记忆与创伤，并为了与人格们的战争，将四散的自我重新聚合为一。","二十年的實驗將布蘭登的記憶與自我碎片化、四散各處……在非線性構成的記憶中，直面被遺忘的記憶與創傷，並為了與人格們的戰爭，將四散的自我重新聚合為一。","Vingt années d'expérimentation ont brisé et dispersé les souvenirs et le sens même de l'identité de Brandon... Au cœur de sa mémoire non linéaire, affrontez des souvenirs oubliés et des traumatismes, et réunissez ses moi fragmentés pour la guerre contre ses propres personnalités.","Zwanzig Jahre der Experimente zerschmetterten Brandons Erinnerungen und sein Selbstgefühl und zerstreuten sie... Stelle dich in seinem nichtlinearen Gedächtnis vergessenen Erinnerungen und Traumata, und vereine seine zersplitterten Ichs für den Krieg gegen seine eigenen Persönlichkeiten.","Veinte años de experimentos destrozaron y dispersaron los recuerdos y el sentido de identidad de Brandon... Enfréntate a recuerdos olvidados y traumas dentro de su mente no lineal, y reúne sus yoes fragmentados para la guerra contra sus propias personalidades.","Veinte años de experimentos destrozaron y dispersaron los recuerdos y el sentido de identidad de Brandon... Enfréntate a recuerdos olvidados y traumas dentro de su mente no lineal, y reúne sus yoes fragmentados para la guerra contra sus propias personalidades.","Vinte anos de experimentos despedaçaram e espalharam as memórias e o senso de identidade de Brandon... Enfrente memórias esquecidas e traumas dentro de sua mente não linear, e reúna seus eus fragmentados para a guerra contra suas próprias personalidades.","Двадцать лет экспериментов разбили и рассеяли память и личность Брэндона... В его нелинейной памяти столкнись с забытыми воспоминаниями и травмами и объедини раздробленные части его «я» ради войны против его же личностей."
"feature4.aria","The non-linear Memory Palace stage","비선형 구조의 기억의 궁전 스테이지","非直線的な記憶の宮殿ステージ","非线性的记忆宫殿场景","非線性的記憶宮殿場景","La scène non linéaire du Palais des Mémoires","Die nichtlineare Gedächtnispalast-Umgebung","El escenario no lineal del Palacio de la Memoria","El escenario no lineal del Palacio de la Memoria","O cenário não linear do Palácio da Memória","Нелинейная локация «Дворец памяти»"
"feature5.heading","A legacy of the Legion, worn down over centuries. Revive the old hotel and rebuild the Legion.","수세기에 걸쳐 내려온 군단의 낡은 유산. 낡은 호텔을 되살려 군단을 재건하라.","数世紀にわたって受け継がれてきた軍団の古き遺産。古びたホテルを蘇らせ、軍団を再建せよ。","历经数世纪流传下来的军团古老遗产。重振破旧旅馆，重建军团。","歷經數世紀流傳下來的軍團古老遺產。重振破舊旅館，重建軍團。","Un héritage de la Légion, usé par des siècles. Ressuscitez le vieil hôtel et reconstruisez la Légion.","Ein Vermächtnis der Legion, abgenutzt über Jahrhunderte. Erwecke das alte Hotel neu und baue die Legion wieder auf.","Un legado de la Legión, desgastado por los siglos. Revive el viejo hotel y reconstruye la Legión.","Un legado de la Legión, desgastado por los siglos. Revive el viejo hotel y reconstruye la Legión.","Um legado da Legião, desgastado pelos séculos. Reviva o velho hotel e reconstrua a Legião.","Наследие Легиона, обветшавшее за века. Возроди старый отель и восстанови Легион."
"feature5.body","By day, run the hotel as its owner. By night, turn it into the Legion's last stronghold — recruit new Legion members, grow their abilities, and prepare for war against the Werewolf Syndicate.","낮에는 호텔의 주인으로서 이곳을 운영하고, 밤에는 이곳을 군단의 마지막 거점으로 바꿔라 — 새로운 군단원을 모집하고, 그들의 능력을 키우며, 늑대인간 신디케이트와의 전쟁을 준비하라.","昼はホテルの主人として経営し、夜は軍団最後の拠点へと変える——新たな軍団員を勧誘し、能力を育て、人狼シンジケートとの戦いに備えよ。","白天，作为旅馆主人经营这里；夜晚，将其变为军团最后的据点——招募新的军团成员，培养他们的能力，为对抗狼人辛迪加的战争做好准备。","白天，作為旅館主人經營這裡；夜晚，將其變為軍團最後的據點——招募新的軍團成員，培養他們的能力，為對抗狼人辛迪加的戰爭做好準備。","Le jour, gérez l'hôtel en tant que propriétaire. La nuit, transformez-le en dernier bastion de la Légion — recrutez de nouveaux membres de la Légion, développez leurs capacités et préparez la guerre contre le Syndicat des loups-garous.","Tagsüber führst du das Hotel als sein Besitzer. Nachts verwandelst du es in die letzte Festung der Legion — rekrutiere neue Mitglieder der Legion, entwickle ihre Fähigkeiten und bereite dich auf den Krieg gegen das Werwolf-Syndikat vor.","De día, dirige el hotel como su propietario. De noche, conviértelo en el último bastión de la Legión — recluta nuevos miembros de la Legión, desarrolla sus habilidades y prepárate para la guerra contra el Sindicato de los Hombres Lobo.","De día, dirige el hotel como su propietario. De noche, conviértelo en el último bastión de la Legión: recluta nuevos miembros de la Legión, desarrolla sus habilidades y prepárate para la guerra contra el Sindicato de los Hombres Lobo.","De dia, administre o hotel como seu proprietário. À noite, transforme-o na última fortaleza da Legião — recrute novos membros da Legião, desenvolva suas habilidades e prepare-se para a guerra contra o Sindicato dos Lobisomens.","Днём управляй отелем как его владелец. Ночью превращай его в последний оплот Легиона — вербуй новых членов Легиона, развивай их способности и готовься к войне с Синдикатом оборотней."
"feature5.aria","The rundown hotel serving as a hideout for the Legion","군단의 은신처로 사용되는 낡은 호텔","軍団の隠れ家として使われる荒廃したホテル","作为军团藏身处的破旧旅馆","作為軍團藏身處的破舊旅館","L'hôtel délabré servant de repaire à la Légion","Das heruntergekommene Hotel als Versteck der Legion","El hotel destartalado que sirve de escondite a la Legión","El hotel destartalado que sirve de escondite a la Legión","O hotel decadente que serve de esconderijo para a Legião","Обветшалый отель, служащий убежищем для Легиона"
"gallery.screenshotsTab","Screenshots","스크린샷","スクリーンショット","游戏截图","遊戲截圖","Captures d'écran","Screenshots","Capturas de pantalla","Capturas de pantalla","Capturas de tela","Скриншоты"
"gallery.keyArtTab","Key Art","키아트","キーアート","主视觉图","主視覺圖","Illustrations","Key Art","Ilustraciones","Ilustraciones","Ilustrações","Ключевые арты"
"gallery.prevAria","Previous","이전","前へ","上一个","上一個","Précédent","Zurück","Anterior","Anterior","Anterior","Назад"
"gallery.nextAria","Next","다음","次へ","下一个","下一個","Suivant","Weiter","Siguiente","Siguiente","Próximo","Далее"
"lightbox.downloadAria","Download image","이미지 다운로드","画像をダウンロード","下载图片","下載圖片","Télécharger l'image","Bild herunterladen","Descargar imagen","Descargar imagen","Baixar imagem","Скачать изображение"
"lightbox.closeAria","Close","닫기","閉じる","关闭","關閉","Fermer","Schließen","Cerrar","Cerrar","Fechar","Закрыть"
"lightbox.prevAria","Previous image","이전 이미지","前の画像","上一张图片","上一張圖片","Image précédente","Vorheriges Bild","Imagen anterior","Imagen anterior","Imagem anterior","Предыдущее изображение"
"lightbox.nextAria","Next image","다음 이미지","次の画像","下一张图片","下一張圖片","Image suivante","Nächstes Bild","Imagen siguiente","Imagen siguiente","Próxima imagem","Следующее изображение"
